입력 문장,도수,술 종류,맛,tokens
상큼한 맛이 나는 도수가 높은 보드카를 마셔보고 싶어요.,높은,보드카,상큼한,"['ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', '[UNK]', 'ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
쓴맛이 강한 위스키를 소개해주세요.,높은,위스키,쓴맛,"['[UNK]', 'ᄀ', '##ᅡ', '##ᆼ', '##ᄒ', '##ᅡ', '##ᆫ', '[UNK]', 'ᄉ', '##ᅩ', '##ᄀ', '##ᅢ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄉ', '##ᅦ', '##ᄋ', '##ᅭ', '.']"
도수가 낮고 달달한 술을 마시고 싶어요.,낮은,칵테일,달달한,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', 'ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
도수가 높은 럼 중에서 신맛 나는 술을 찾고 있어요.,높은,럼,신맛,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', 'ᄅ', '##ᅥ', '##ᆷ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', '[UNK]', 'ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.']"
가볍고 상큼한 칵테일 추천 부탁드립니다.,낮은,칵테일,상큼한,"['ᄀ', '##ᅡ', '##ᄇ', '##ᅧ', '##ᆸ', '##ᄀ', '##ᅩ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', 'ᄇ', '##ᅮ', '##ᄐ', '##ᅡ', '##ᆨ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅵ', '##ᆸ', '##ᄂ', '##ᅵ', '##ᄃ', '##ᅡ', '.']"
쓴맛이 적고 부드러운 보드카를 원해요.,중간,보드카,부드러운,"['[UNK]', 'ᄌ', '##ᅥ', '##ᆨ', '##ᄀ', '##ᅩ', 'ᄇ', '##ᅮ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅥ', '##ᄋ', '##ᅮ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄋ', '##ᅯ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄋ', '##ᅭ', '.']"
달달한 맛이 나는 위스키를 찾고 있어요.,높은,위스키,달달한,"['ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᆫ', '[UNK]', 'ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', '[UNK]', '[UNK]', '[UNK]', '.']"
신맛이 강하고 도수가 낮은 술 추천 부탁드려요.,낮은,칵테일,신맛,"['[UNK]', 'ᄀ', '##ᅡ', '##ᆼ', '##ᄒ', '##ᅡ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', 'ᄉ', '##ᅮ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', 'ᄇ', '##ᅮ', '##ᄐ', '##ᅡ', '##ᆨ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅧ', '##ᄋ', '##ᅭ', '.']"
강한 도수의 부드러운 위스키를 추천해줘.,높은,위스키,부드러운,"['ᄀ', '##ᅡ', '##ᆼ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄇ', '##ᅮ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅥ', '##ᄋ', '##ᅮ', '##ᆫ', '[UNK]', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
쓴맛과 상큼함이 공존하는 칵테일이 있나요?,중간,칵테일,쓴맛,"['[UNK]', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᆷ', '##ᄋ', '##ᅵ', 'ᄀ', '##ᅩ', '##ᆼ', '##ᄌ', '##ᅩ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄋ', '##ᅵ', '[UNK]', '?']"
달달하면서 도수가 높은 보드카를 찾고 있어요.,높은,보드카,달달한,"['ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', '##ᄒ', '##ᅡ', '##ᄆ', '##ᅧ', '##ᆫ', '##ᄉ', '##ᅥ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.']"
가볍고 신맛 나는 럼을 추천해주세요.,낮은,럼,신맛,"['ᄀ', '##ᅡ', '##ᄇ', '##ᅧ', '##ᆸ', '##ᄀ', '##ᅩ', '[UNK]', 'ᄂ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄅ', '##ᅥ', '##ᆷ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄉ', '##ᅦ', '##ᄋ', '##ᅭ', '.']"
도수 가 낮다 상큼 한 칵테일 을 소개 해주다 .,낮은,칵테일,상큼한,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄀ', '##ᅡ', '[UNK]', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄋ', '##ᅳ', '##ᆯ', 'ᄉ', '##ᅩ', '##ᄀ', '##ᅢ', 'ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄃ', '##ᅡ', '.']"
도수 가 낮다 상큼 한 칵테일 을 제안 해주다  마시고 싶네요.,낮은,칵테일,상큼한,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄀ', '##ᅡ', '[UNK]', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄋ', '##ᅳ', '##ᆯ', 'ᄌ', '##ᅦ', '##ᄋ', '##ᅡ', '##ᆫ', 'ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄃ', '##ᅡ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
도수 가 낮다 상큼 한 칵테일 을 안내 해주다 .,낮은,칵테일,상큼한,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄀ', '##ᅡ', '[UNK]', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄋ', '##ᅳ', '##ᆯ', 'ᄋ', '##ᅡ', '##ᆫ', '##ᄂ', '##ᅢ', 'ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄃ', '##ᅡ', '.']"
강하다 도수 의 쓴맛 나 는 보드카 소개 해주다 .,높은,보드카,쓴맛,"['ᄀ', '##ᅡ', '##ᆼ', '##ᄒ', '##ᅡ', '##ᄃ', '##ᅡ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄋ', '##ᅴ', '[UNK]', 'ᄂ', '##ᅡ', 'ᄂ', '##ᅳ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄉ', '##ᅩ', '##ᄀ', '##ᅢ', 'ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄃ', '##ᅡ', '.']"
강하다 도수 의 쓴맛 나 는 보드카 추천 해주다 .,높은,보드카,쓴맛,"['ᄀ', '##ᅡ', '##ᆼ', '##ᄒ', '##ᅡ', '##ᄃ', '##ᅡ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄋ', '##ᅴ', '[UNK]', 'ᄂ', '##ᅡ', 'ᄂ', '##ᅳ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', 'ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄃ', '##ᅡ', '.']"
강하다 도수 의 쓴맛 나 는 보드카 추천해주 해주다 .,높은,보드카,쓴맛,"['ᄀ', '##ᅡ', '##ᆼ', '##ᄒ', '##ᅡ', '##ᄃ', '##ᅡ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄋ', '##ᅴ', '[UNK]', 'ᄂ', '##ᅡ', 'ᄂ', '##ᅳ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', 'ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄃ', '##ᅡ', '.']"
도수 가 적당한 이고 달달 한 보드카 가 있다 ?,중간,보드카,달달한,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄀ', '##ᅡ', 'ᄌ', '##ᅥ', '##ᆨ', '##ᄃ', '##ᅡ', '##ᆼ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄀ', '##ᅡ', '[UNK]', '?']"
도수 가 무난한 이고 달달 한 보드카 가 있다 ?,중간,보드카,달달한,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄀ', '##ᅡ', 'ᄆ', '##ᅮ', '##ᄂ', '##ᅡ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄀ', '##ᅡ', '[UNK]', '?']"
도수 가 보통의 이고 달달 한 보드카 가 있다 ?,중간,보드카,달달한,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄀ', '##ᅡ', 'ᄇ', '##ᅩ', '##ᄐ', '##ᅩ', '##ᆼ', '##ᄋ', '##ᅴ', 'ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅡ', '##ᆯ', '##ᄃ', '##ᅡ', '##ᆯ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄀ', '##ᅡ', '[UNK]', '?']"
도수 가 약하다 부드럽다 칵테일 제안 부탁 하다 .,낮은,칵테일,부드러운,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄀ', '##ᅡ', '[UNK]', 'ᄇ', '##ᅮ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅥ', '##ᆸ', '##ᄃ', '##ᅡ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄌ', '##ᅦ', '##ᄋ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅮ', '##ᄐ', '##ᅡ', '##ᆨ', 'ᄒ', '##ᅡ', '##ᄃ', '##ᅡ', '.']"
도수 가 약하다 부드럽다 칵테일 소개 부탁 하다 는 어떠세요?,낮은,칵테일,부드러운,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄀ', '##ᅡ', '[UNK]', 'ᄇ', '##ᅮ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅥ', '##ᆸ', '##ᄃ', '##ᅡ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄉ', '##ᅩ', '##ᄀ', '##ᅢ', 'ᄇ', '##ᅮ', '##ᄐ', '##ᅡ', '##ᆨ', 'ᄒ', '##ᅡ', '##ᄃ', '##ᅡ', 'ᄂ', '##ᅳ', '##ᆫ', '[UNK]', '?']"
도수 가 약하다 부드럽다 칵테일 조언 부탁 하다 .,낮은,칵테일,부드러운,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄀ', '##ᅡ', '[UNK]', 'ᄇ', '##ᅮ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅥ', '##ᆸ', '##ᄃ', '##ᅡ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄌ', '##ᅩ', '##ᄋ', '##ᅥ', '##ᆫ', 'ᄇ', '##ᅮ', '##ᄐ', '##ᅡ', '##ᆨ', 'ᄒ', '##ᅡ', '##ᄃ', '##ᅡ', '.']"
진하다 쓸다 럼 을 알려주 해주다 ?,높은,럼,쓴맛,"['ᄌ', '##ᅵ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᄃ', '##ᅡ', 'ᄊ', '##ᅳ', '##ᆯ', '##ᄃ', '##ᅡ', 'ᄅ', '##ᅥ', '##ᆷ', 'ᄋ', '##ᅳ', '##ᆯ', 'ᄋ', '##ᅡ', '##ᆯ', '##ᄅ', '##ᅧ', '##ᄌ', '##ᅮ', 'ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄃ', '##ᅡ', '?']"
진하다 쓸다 럼 을 알려주 해주다 를 추천해주실 수 있나요?,높은,럼,쓴맛,"['ᄌ', '##ᅵ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᄃ', '##ᅡ', 'ᄊ', '##ᅳ', '##ᆯ', '##ᄃ', '##ᅡ', 'ᄅ', '##ᅥ', '##ᆷ', 'ᄋ', '##ᅳ', '##ᆯ', 'ᄋ', '##ᅡ', '##ᆯ', '##ᄅ', '##ᅧ', '##ᄌ', '##ᅮ', 'ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄃ', '##ᅡ', 'ᄅ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄉ', '##ᅮ', '[UNK]', '?']"
진하다 쓸다 럼 을 소개 해주다 ?,높은,럼,쓴맛,"['ᄌ', '##ᅵ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᄃ', '##ᅡ', 'ᄊ', '##ᅳ', '##ᆯ', '##ᄃ', '##ᅡ', 'ᄅ', '##ᅥ', '##ᆷ', 'ᄋ', '##ᅳ', '##ᆯ', 'ᄉ', '##ᅩ', '##ᄀ', '##ᅢ', 'ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄃ', '##ᅡ', '?']"
가볍다 상큼 한 칵테일 알려주 부탁드리다 를 마시고 싶은데 추천해주세요.,낮은,칵테일,상큼한,"['ᄀ', '##ᅡ', '##ᄇ', '##ᅧ', '##ᆸ', '##ᄃ', '##ᅡ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄋ', '##ᅡ', '##ᆯ', '##ᄅ', '##ᅧ', '##ᄌ', '##ᅮ', 'ᄇ', '##ᅮ', '##ᄐ', '##ᅡ', '##ᆨ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅵ', '##ᄃ', '##ᅡ', 'ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄉ', '##ᅦ', '##ᄋ', '##ᅭ', '.']"
가볍다 상큼 한 칵테일 제안 부탁드리다 .,낮은,칵테일,상큼한,"['ᄀ', '##ᅡ', '##ᄇ', '##ᅧ', '##ᆸ', '##ᄃ', '##ᅡ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄌ', '##ᅦ', '##ᄋ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅮ', '##ᄐ', '##ᅡ', '##ᆨ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅵ', '##ᄃ', '##ᅡ', '.']"
가볍다 상큼 한 칵테일 조언 부탁드리다  어디서 구할 수 있을까요?,낮은,칵테일,상큼한,"['ᄀ', '##ᅡ', '##ᄇ', '##ᅧ', '##ᆸ', '##ᄃ', '##ᅡ', 'ᄉ', '##ᅡ', '##ᆼ', '##ᄏ', '##ᅳ', '##ᆷ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', 'ᄌ', '##ᅩ', '##ᄋ', '##ᅥ', '##ᆫ', 'ᄇ', '##ᅮ', '##ᄐ', '##ᅡ', '##ᆨ', '##ᄃ', '##ᅳ', '##ᄅ', '##ᅵ', '##ᄃ', '##ᅡ', 'ᄋ', '##ᅥ', '##ᄃ', '##ᅵ', '##ᄉ', '##ᅥ', 'ᄀ', '##ᅮ', '##ᄒ', '##ᅡ', '##ᆯ', 'ᄉ', '##ᅮ', '[UNK]', '?']"
